,Unnamed: 0,Police_Force_Name,Year,Quarter,Detailed_Offence_Description,Offence_Group,Offence_Subgroup,Number_of_Arrests,Arrests_Ranked,Level_of_Lockdown,Region
58700,58700,Leicestershire,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,East Midlands
58790,58790,Lincolnshire,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,East Midlands
58932,58932,Merseyside,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,West Midlands
59030,59030,Metropolitan Police,2021,3,Homicide,Violence against the person,Homicide,5,(-0.001. 20.0],Low,South East
59140,59140,Norfolk,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,East Midlands
59236,59236,North Wales,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,South West
59332,59332,North Yorkshire,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,North
59418,59418,Northamptonshire,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,East Midlands
59681,59681,South Wales,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,South West
59772,59772,South Yorkshire,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,East Midlands
59865,59865,Staffordshire,2021,3,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Low,West Midlands
59960,59960,Suffolk,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,East Midlands
60048,60048,Surrey,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South East
60341,60341,Warwickshire,2021,3,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Low,West Midlands
60422,60422,West Mercia,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,South West
60520,60520,West Midlands,2021,3,Homicide,Violence against the person,Homicide,6,(-0.001. 20.0],Low,West Midlands
60621,60621,West Yorkshire,2021,3,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Low,East Midlands
61375,61375,Bedfordshire,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South East
62625,62625,Cheshire,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,West Midlands
65667,65667,Durham,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,North
66222,66222,Dyfed-Powys,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South West
66665,66665,Essex,2021,3,Homicide,Violence against the person,Homicide,4,(-0.001. 20.0],Low,South East
67753,67753,Greater Manchester,2021,3,Homicide,Violence against the person,Homicide,7,(-0.001. 20.0],Low,West Midlands
67754,67754,Greater Manchester,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,West Midlands
67755,67755,Greater Manchester,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,West Midlands
68978,68978,Hampshire,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,South East
71168,71168,Lancashire,2021,3,Homicide,Violence against the person,Homicide,1,(-0.001. 20.0],Low,West Midlands
71775,71775,Leicestershire,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,East Midlands
72429,72429,Lincolnshire,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,East Midlands
72951,72951,Merseyside,2021,3,Homicide,Violence against the person,Homicide,3,(-0.001. 20.0],Low,West Midlands
73613,73613,Metropolitan Police,2021,3,Homicide,Violence against the person,Homicide,34,(20.0. 40.0],Low,South East
74245,74245,Norfolk,2021,3,Homicide,Violence against the person,Homicide,2,(-0.001. 20.0],Low,East Midlands
