,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
24032,Sussex,2020,1,Theft offences,1,(-0.001. 20.0],South East,High
61412,Bedfordshire,2021,3,Violence against the person,4,(-0.001. 20.0],South East,Medium
69784,Hertfordshire,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
100088,Leicestershire,2021,1,Violence against the person,27,(20.0. 40.0],East Midlands,Medium
33456,Devon and Cornwall,2019,1,Theft offences,1,(-0.001. 20.0],South West,No Lockdown
41865,Leicestershire,2019,1,Public order offences,6,(-0.001. 20.0],East Midlands,No Lockdown
43500,Merseyside,2019,1,Violence against the person,6,(-0.001. 20.0],West Midlands,No Lockdown
920,Lancashire,2020,1,Violence against the person,9,(-0.001. 20.0],West Midlands,High
56695,Wiltshire,2019,1,Sexual offences,1,(-0.001. 20.0],South West,No Lockdown
49473,South Yorkshire,2019,1,Theft offences,15,(-0.001. 20.0],East Midlands,No Lockdown
17733,North Wales,2020,1,Sexual offences,11,(-0.001. 20.0],South West,High
33838,Dorset,2019,1,Theft offences,3,(-0.001. 20.0],South West,No Lockdown
63860,Cumbria,2021,3,Theft offences,18,(-0.001. 20.0],North,Medium
41917,Leicestershire,2019,1,Public order offences,3,(-0.001. 20.0],East Midlands,No Lockdown
100199,Lincolnshire,2021,1,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
85373,Hertfordshire,2021,1,Theft offences,2,(-0.001. 20.0],South East,Medium
11158,Hampshire,2020,1,Criminal damage and arson,47,(40.0. 60.0],South East,High
111795,West Yorkshire,2021,1,Sexual offences,10,(-0.001. 20.0],East Midlands,Medium
16389,Metropolitan Police,2020,1,Theft offences,45,(40.0. 60.0],South East,High
65164,Devon and Cornwall,2021,3,Public order offences,2,(-0.001. 20.0],South West,Medium
27002,West Yorkshire,2020,1,Violence against the person,5,(-0.001. 20.0],East Midlands,High
89540,Cheshire,2021,1,Sexual offences,13,(-0.001. 20.0],West Midlands,Medium
43834,Merseyside,2019,1,Theft offences,11,(-0.001. 20.0],West Midlands,No Lockdown
75197,North Wales,2021,3,Violence against the person,1,(-0.001. 20.0],South West,Medium
47438,Northumbria,2019,1,Sexual offences,3,(-0.001. 20.0],North,No Lockdown
1839,Thames Valley,2020,1,Sexual offences,5,(-0.001. 20.0],South East,High
25625,Warwickshire,2020,1,Sexual offences,4,(-0.001. 20.0],West Midlands,High
57159,Cheshire,2021,3,Theft offences,2,(-0.001. 20.0],West Midlands,Medium
96002,Gwent,2021,1,Theft offences,1,(-0.001. 20.0],South West,Medium
50915,Suffolk,2019,1,Violence against the person,1,(-0.001. 20.0],East Midlands,No Lockdown
98334,Kent,2021,1,Theft offences,30,(20.0. 40.0],South East,Medium
68572,Greater Manchester,2021,3,Public order offences,7,(-0.001. 20.0],West Midlands,Medium
75661,North Yorkshire,2021,3,Public order offences,2,(-0.001. 20.0],North,Medium
99787,Leicestershire,2021,1,Violence against the person,13,(-0.001. 20.0],East Midlands,Medium
9229,Essex,2020,1,Theft offences,3,(-0.001. 20.0],South East,High
64795,Devon and Cornwall,2021,3,Theft offences,1,(-0.001. 20.0],South West,Medium
34221,Durham,2019,1,Theft offences,1,(-0.001. 20.0],North,No Lockdown
75506,North Yorkshire,2021,3,Criminal damage and arson,2,(-0.001. 20.0],North,Medium
47594,Northumbria,2019,1,Theft offences,56,(40.0. 60.0],North,No Lockdown
73720,Metropolitan Police,2021,3,Sexual offences,3,(-0.001. 20.0],South East,Medium
7475,Dorset,2020,1,Sexual offences,4,(-0.001. 20.0],South West,High
35671,Essex,2019,1,Theft offences,120,(100.0. 120.0],South East,No Lockdown
100897,Merseyside,2021,1,Theft offences,20,(-0.001. 20.0],West Midlands,Medium
38679,Hampshire,2019,1,Violence against the person,17,(-0.001. 20.0],South East,No Lockdown
56317,West Yorkshire,2019,1,Theft offences,335,(300. 400],East Midlands,No Lockdown
109025,Sussex,2021,1,Violence against the person,11,(-0.001. 20.0],South East,Medium
65894,Durham,2021,3,Theft offences,1,(-0.001. 20.0],North,Medium
24688,Thames Valley,2020,1,Theft offences,8,(-0.001. 20.0],South East,High
70330,Humberside,2021,3,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
73766,Metropolitan Police,2021,3,Sexual offences,2,(-0.001. 20.0],South East,Medium
43161,London. City of,2019,1,Theft offences,51,(40.0. 60.0],South East,No Lockdown
16585,Metropolitan Police,2020,1,Theft offences,8,(-0.001. 20.0],South East,High
88029,Avon and Somerset,2021,1,Violence against the person,4,(-0.001. 20.0],South West,Medium
28167,Avon and Somerset,2019,1,Violence against the person,4,(-0.001. 20.0],South West,No Lockdown
2260,Avon and Somerset,2020,1,Violence against the person,8,(-0.001. 20.0],South West,High
34918,Dyfed-Powys,2019,1,Theft offences,1,(-0.001. 20.0],South West,No Lockdown
40102,Kent,2019,1,Public order offences,18,(-0.001. 20.0],South East,No Lockdown
68845,Gwent,2021,3,Violence against the person,22,(20.0. 40.0],South West,Medium
103646,North Yorkshire,2021,1,Theft offences,2,(-0.001. 20.0],North,Medium
81692,Warwickshire,2021,3,Theft offences,1,(-0.001. 20.0],West Midlands,Medium
11198,Hampshire,2020,1,Violence against the person,29,(20.0. 40.0],South East,High
20738,South Wales,2020,1,Violence against the person,5,(-0.001. 20.0],South West,High
100607,Lincolnshire,2021,1,Violence against the person,13,(-0.001. 20.0],East Midlands,Medium
48617,Nottinghamshire,2019,1,Theft offences,1,(-0.001. 20.0],East Midlands,No Lockdown
71663,Lancashire,2021,3,Violence against the person,1076,(1000. 1100],West Midlands,Medium
90353,Cleveland,2021,1,Violence against the person,1,(-0.001. 20.0],North,Medium
1738,Surrey,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
89818,Cheshire,2021,1,Public order offences,2,(-0.001. 20.0],West Midlands,Medium
92379,Dorset,2021,1,Sexual offences,2,(-0.001. 20.0],South West,Medium
66815,Essex,2021,3,Sexual offences,4,(-0.001. 20.0],South East,Medium
51951,Surrey,2019,1,Public order offences,6,(-0.001. 20.0],South East,No Lockdown
110772,West Mercia,2021,1,Theft offences,14,(-0.001. 20.0],South West,Medium
64749,Devon and Cornwall,2021,3,Sexual offences,1,(-0.001. 20.0],South West,Medium
17212,Norfolk,2020,1,Theft offences,12,(-0.001. 20.0],East Midlands,High
39686,Humberside,2019,1,Drug offences,1,(-0.001. 20.0],East Midlands,No Lockdown
43706,Merseyside,2019,1,Sexual offences,4,(-0.001. 20.0],West Midlands,No Lockdown
55440,West Midlands,2019,1,Theft offences,22,(20.0. 40.0],West Midlands,No Lockdown
92504,Dorset,2021,1,Public order offences,1,(-0.001. 20.0],South West,Medium
64264,Derbyshire,2021,3,Theft offences,33,(20.0. 40.0],West Midlands,Medium
72198,Leicestershire,2021,3,Public order offences,3,(-0.001. 20.0],East Midlands,Medium
74742,Norfolk,2021,3,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
65949,Durham,2021,3,Theft offences,1,(-0.001. 20.0],North,Medium
28766,Avon and Somerset,2019,1,Theft offences,3,(-0.001. 20.0],South West,No Lockdown
76937,Nottinghamshire,2021,3,Public order offences,2,(-0.001. 20.0],East Midlands,Medium
39155,Hertfordshire,2019,1,Sexual offences,3,(-0.001. 20.0],South East,No Lockdown
24811,Thames Valley,2020,1,Theft offences,17,(-0.001. 20.0],South East,High
72545,Lincolnshire,2021,3,Theft offences,10,(-0.001. 20.0],East Midlands,Medium
7663,Dorset,2020,1,Criminal damage and arson,1,(-0.001. 20.0],South West,High
13889,Lancashire,2020,1,Violence against the person,89,(80.0. 100.0],West Midlands,High
15659,Merseyside,2020,1,Theft offences,5,(-0.001. 20.0],West Midlands,High
34035,Dorset,2019,1,Theft offences,10,(-0.001. 20.0],South West,No Lockdown
29491,British Transport Police,2019,1,Theft offences,1,(-0.001. 20.0],British Transport Police,No Lockdown
72457,Lincolnshire,2021,3,Violence against the person,2,(-0.001. 20.0],East Midlands,Medium
110731,West Mercia,2021,1,Theft offences,1,(-0.001. 20.0],South West,Medium
8708,Dyfed-Powys,2020,1,Theft offences,2,(-0.001. 20.0],South West,High
37617,Gwent,2019,1,Violence against the person,1,(-0.001. 20.0],South West,No Lockdown
52101,Sussex,2019,1,Theft offences,7,(-0.001. 20.0],South East,No Lockdown
99624,Leicestershire,2021,1,Sexual offences,6,(-0.001. 20.0],East Midlands,Medium
51148,Suffolk,2019,1,Sexual offences,1,(-0.001. 20.0],East Midlands,No Lockdown
79407,Suffolk,2021,3,Theft offences,33,(20.0. 40.0],East Midlands,Medium
45628,North Wales,2019,1,Public order offences,3,(-0.001. 20.0],South West,No Lockdown
56120,West Yorkshire,2019,1,Sexual offences,35,(20.0. 40.0],East Midlands,No Lockdown
83278,West Yorkshire,2021,3,Sexual offences,16,(-0.001. 20.0],East Midlands,Medium
73923,Metropolitan Police,2021,3,Theft offences,2,(-0.001. 20.0],South East,Medium
30611,Cheshire,2019,1,Criminal damage and arson,42,(40.0. 60.0],West Midlands,No Lockdown
80717,Sussex,2021,3,Public order offences,3,(-0.001. 20.0],South East,Medium
18627,North Yorkshire,2020,1,Violence against the person,3,(-0.001. 20.0],North,High
73741,Metropolitan Police,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
49844,South Yorkshire,2019,1,Sexual offences,1,(-0.001. 20.0],East Midlands,No Lockdown
85319,Hampshire,2021,1,Violence against the person,224,(200. 300],South East,Medium
108552,Surrey,2021,1,Public order offences,3,(-0.001. 20.0],South East,Medium
38677,Hampshire,2019,1,Violence against the person,1,(-0.001. 20.0],South East,No Lockdown
99972,Leicestershire,2021,1,Public order offences,16,(-0.001. 20.0],East Midlands,Medium
26716,West Midlands,2020,1,Theft offences,8,(-0.001. 20.0],West Midlands,High
88396,Bedfordshire,2021,1,Criminal damage and arson,2,(-0.001. 20.0],South East,Medium
35436,Essex,2019,1,Theft offences,4,(-0.001. 20.0],South East,No Lockdown
97861,Humberside,2021,1,Criminal damage and arson,16,(-0.001. 20.0],East Midlands,Medium
60179,Sussex,2021,3,Violence against the person,12,(-0.001. 20.0],South East,Medium
56916,Bedfordshire,2021,3,Sexual offences,10,(-0.001. 20.0],South East,Medium
86798,Surrey,2021,1,Violence against the person,1,(-0.001. 20.0],South East,Medium
29375,Bedfordshire,2019,1,Theft offences,10,(-0.001. 20.0],South East,No Lockdown
98039,Humberside,2021,1,Violence against the person,15,(-0.001. 20.0],East Midlands,Medium
20128,Nottinghamshire,2020,1,Theft offences,6,(-0.001. 20.0],East Midlands,High
69539,Hertfordshire,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
79534,Suffolk,2021,3,Criminal damage and arson,8,(-0.001. 20.0],East Midlands,Medium
88401,Bedfordshire,2021,1,Criminal damage and arson,15,(-0.001. 20.0],South East,Medium
97781,Humberside,2021,1,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
109054,Sussex,2021,1,Theft offences,1,(-0.001. 20.0],South East,Medium
37961,Hampshire,2019,1,Theft offences,11,(-0.001. 20.0],South East,No Lockdown
36951,Greater Manchester,2019,1,Public order offences,37,(20.0. 40.0],West Midlands,No Lockdown
108677,Surrey,2021,1,Violence against the person,50,(40.0. 60.0],South East,Medium
9675,Essex,2020,1,Drug offences,30,(20.0. 40.0],South East,High
3605,British Transport Police,2020,1,Sexual offences,35,(20.0. 40.0],British Transport Police,High
41539,Lancashire,2019,1,Theft offences,11,(-0.001. 20.0],West Midlands,No Lockdown
103131,North Wales,2021,1,Theft offences,3,(-0.001. 20.0],South West,Medium
27936,Wiltshire,2020,1,Criminal damage and arson,21,(20.0. 40.0],South West,High
92009,Devon and Cornwall,2021,1,Criminal damage and arson,1,(-0.001. 20.0],South West,Medium
68056,Greater Manchester,2021,3,Theft offences,27,(20.0. 40.0],West Midlands,Medium
20431,Nottinghamshire,2020,1,Sexual offences,1,(-0.001. 20.0],East Midlands,High
94249,Essex,2021,1,Violence against the person,76,(60.0. 80.0],South East,Medium
111740,West Yorkshire,2021,1,Theft offences,13,(-0.001. 20.0],East Midlands,Medium
106134,South Wales,2021,1,Public order offences,21,(20.0. 40.0],South West,Medium
77132,Nottinghamshire,2021,3,Public order offences,2,(-0.001. 20.0],East Midlands,Medium
21631,South Yorkshire,2020,1,Criminal damage and arson,35,(20.0. 40.0],East Midlands,High
111689,West Yorkshire,2021,1,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
33102,Devon and Cornwall,2019,1,Public order offences,2,(-0.001. 20.0],South West,No Lockdown
20115,Nottinghamshire,2020,1,Theft offences,8,(-0.001. 20.0],East Midlands,High
47477,Northumbria,2019,1,Sexual offences,1,(-0.001. 20.0],North,No Lockdown
77336,Nottinghamshire,2021,3,Public order offences,1,(-0.001. 20.0],East Midlands,Medium
23135,Surrey,2020,1,Violence against the person,6,(-0.001. 20.0],South East,High
38846,Hertfordshire,2019,1,Criminal damage and arson,2,(-0.001. 20.0],South East,No Lockdown
68569,Greater Manchester,2021,3,Public order offences,2,(-0.001. 20.0],West Midlands,Medium
27702,West Yorkshire,2020,1,Public order offences,1,(-0.001. 20.0],East Midlands,High
9674,Essex,2020,1,Drug offences,1,(-0.001. 20.0],South East,High
91872,Devon and Cornwall,2021,1,Violence against the person,1,(-0.001. 20.0],South West,Medium
42997,London. City of,2019,1,Theft offences,1,(-0.001. 20.0],South East,No Lockdown
58322,Hertfordshire,2021,3,Sexual offences,69,(60.0. 80.0],South East,Medium
17314,Norfolk,2020,1,Criminal damage and arson,94,(80.0. 100.0],East Midlands,High
3224,Bedfordshire,2020,1,Violence against the person,1,(-0.001. 20.0],South East,High
16736,Metropolitan Police,2020,1,Public order offences,9,(-0.001. 20.0],South East,High
28700,Avon and Somerset,2019,1,Sexual offences,1,(-0.001. 20.0],South West,No Lockdown
90615,Cumbria,2021,1,Sexual offences,1,(-0.001. 20.0],North,Medium
51913,Surrey,2019,1,Theft offences,5,(-0.001. 20.0],South East,No Lockdown
57762,Dyfed-Powys,2021,3,Violence against the person,155,(140.0. 160.0],South West,Medium
107317,Staffordshire,2021,1,Theft offences,2,(-0.001. 20.0],West Midlands,Medium
77244,Nottinghamshire,2021,3,Violence against the person,85,(80.0. 100.0],East Midlands,Medium
83265,West Yorkshire,2021,3,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
104641,Northumbria,2021,1,Theft offences,1,(-0.001. 20.0],North,Medium
79517,Suffolk,2021,3,Criminal damage and arson,4,(-0.001. 20.0],East Midlands,Medium
73100,Merseyside,2021,3,Sexual offences,11,(-0.001. 20.0],West Midlands,Medium
69335,Hampshire,2021,3,Public order offences,1,(-0.001. 20.0],South East,Medium
57826,Dyfed-Powys,2021,3,Violence against the person,7,(-0.001. 20.0],South West,Medium
104346,Northamptonshire,2021,1,Violence against the person,265,(200. 300],East Midlands,Medium
65617,Dorset,2021,3,Violence against the person,1,(-0.001. 20.0],South West,Medium
88886,Cambridgeshire,2021,1,Violence against the person,30,(20.0. 40.0],East Midlands,Medium
86582,South Yorkshire,2021,1,Sexual offences,20,(-0.001. 20.0],East Midlands,Medium
70780,Kent,2021,3,Theft offences,1,(-0.001. 20.0],South East,Medium
109484,Thames Valley,2021,1,Violence against the person,1,(-0.001. 20.0],South East,Medium
38707,Hertfordshire,2019,1,Theft offences,1,(-0.001. 20.0],South East,No Lockdown
19004,Northamptonshire,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
7431,Dorset,2020,1,Sexual offences,5,(-0.001. 20.0],South West,High
74248,Norfolk,2021,3,Violence against the person,1,(-0.001. 20.0],East Midlands,Medium
27033,West Yorkshire,2020,1,Violence against the person,2,(-0.001. 20.0],East Midlands,High
43389,Merseyside,2019,1,Criminal damage and arson,18,(-0.001. 20.0],West Midlands,No Lockdown
44159,Metropolitan Police,2019,1,Theft offences,209,(200. 300],South East,No Lockdown
54984,West Midlands,2019,1,Public order offences,1,(-0.001. 20.0],West Midlands,No Lockdown
44265,Metropolitan Police,2019,1,Violence against the person,35,(20.0. 40.0],South East,No Lockdown
20306,Nottinghamshire,2020,1,Criminal damage and arson,3,(-0.001. 20.0],East Midlands,High
11134,Hampshire,2020,1,Criminal damage and arson,6,(-0.001. 20.0],South East,High
112233,West Yorkshire,2021,1,Violence against the person,35,(20.0. 40.0],East Midlands,Medium
76868,Nottinghamshire,2021,3,Sexual offences,2,(-0.001. 20.0],East Midlands,Medium
23517,Surrey,2020,1,Violence against the person,7,(-0.001. 20.0],South East,High
52373,Sussex,2019,1,Theft offences,1714,(1700. 1800],South East,No Lockdown
60772,Wiltshire,2021,3,Violence against the person,22,(20.0. 40.0],South West,Medium
95265,Greater Manchester,2021,1,Theft offences,2,(-0.001. 20.0],West Midlands,Medium
17294,Norfolk,2020,1,Criminal damage and arson,1,(-0.001. 20.0],East Midlands,High
80832,Sussex,2021,3,Violence against the person,1,(-0.001. 20.0],South East,Medium
90425,Cleveland,2021,1,Violence against the person,113,(100.0. 120.0],North,Medium
50319,Staffordshire,2019,1,Criminal damage and arson,2,(-0.001. 20.0],West Midlands,No Lockdown
74382,Norfolk,2021,3,Sexual offences,3,(-0.001. 20.0],East Midlands,Medium
100430,Lincolnshire,2021,1,Theft offences,18,(-0.001. 20.0],East Midlands,Medium
78315,South Yorkshire,2021,3,Theft offences,26,(20.0. 40.0],East Midlands,Medium
24393,Sussex,2020,1,Violence against the person,1,(-0.001. 20.0],South East,High
40133,Kent,2019,1,Violence against the person,6,(-0.001. 20.0],South East,No Lockdown
14629,Leicestershire,2020,1,Violence against the person,41,(40.0. 60.0],East Midlands,High
25463,Warwickshire,2020,1,Theft offences,1,(-0.001. 20.0],West Midlands,High
73255,Merseyside,2021,3,Theft offences,971,(900. 1000],West Midlands,Medium
80278,Surrey,2021,3,Violence against the person,1,(-0.001. 20.0],South East,Medium
50241,Staffordshire,2019,1,Public order offences,20,(-0.001. 20.0],West Midlands,No Lockdown
22174,Staffordshire,2020,1,Violence against the person,9,(-0.001. 20.0],West Midlands,High
19635,Northumbria,2020,1,Criminal damage and arson,4,(-0.001. 20.0],North,High
77963,South Yorkshire,2021,3,Violence against the person,6,(-0.001. 20.0],East Midlands,Medium
62482,Cambridgeshire,2021,3,Public order offences,1,(-0.001. 20.0],East Midlands,Medium
47922,Northumbria,2019,1,Theft offences,42,(40.0. 60.0],North,No Lockdown
96650,Hampshire,2021,1,Theft offences,7,(-0.001. 20.0],South East,Medium
101018,Merseyside,2021,1,Theft offences,7,(-0.001. 20.0],West Midlands,Medium
22959,Suffolk,2020,1,Public order offences,13,(-0.001. 20.0],East Midlands,High
3145,Bedfordshire,2020,1,Theft offences,16,(-0.001. 20.0],South East,High
1620,Staffordshire,2020,1,Sexual offences,2,(-0.001. 20.0],West Midlands,High
24030,Sussex,2020,1,Theft offences,301,(300. 400],South East,High
101196,Merseyside,2021,1,Theft offences,5,(-0.001. 20.0],West Midlands,Medium
33196,Devon and Cornwall,2019,1,Drug offences,22,(20.0. 40.0],South West,No Lockdown
17987,North Wales,2020,1,Public order offences,28,(20.0. 40.0],South West,High
103104,North Wales,2021,1,Theft offences,4,(-0.001. 20.0],South West,Medium
84095,Wiltshire,2021,3,Drug offences,8,(-0.001. 20.0],South West,Medium
110485,Warwickshire,2021,1,Violence against the person,2,(-0.001. 20.0],West Midlands,Medium
69241,Hampshire,2021,3,Public order offences,1,(-0.001. 20.0],South East,Medium
59591,Nottinghamshire,2021,3,Violence against the person,262,(200. 300],East Midlands,Medium
45503,North Wales,2019,1,Violence against the person,36,(20.0. 40.0],South West,No Lockdown
37729,Gwent,2019,1,Public order offences,67,(60.0. 80.0],South West,No Lockdown
47692,Northumbria,2019,1,Public order offences,20,(-0.001. 20.0],North,No Lockdown
30506,Cheshire,2019,1,Violence against the person,1,(-0.001. 20.0],West Midlands,No Lockdown
61755,Bedfordshire,2021,3,Violence against the person,114,(100.0. 120.0],South East,Medium
16860,Metropolitan Police,2020,1,Drug offences,11,(-0.001. 20.0],South East,High
79942,Surrey,2021,3,Theft offences,1,(-0.001. 20.0],South East,Medium
76552,Northumbria,2021,3,Public order offences,76,(60.0. 80.0],North,Medium
69374,Hampshire,2021,3,Violence against the person,137,(120.0. 140.0],South East,Medium
108958,Sussex,2021,1,Theft offences,2,(-0.001. 20.0],South East,Medium
11958,Humberside,2020,1,Violence against the person,2,(-0.001. 20.0],East Midlands,High
82797,West Midlands,2021,3,Theft offences,20,(-0.001. 20.0],West Midlands,Medium
93289,Durham,2021,1,Public order offences,14,(-0.001. 20.0],North,Medium
84318,British Transport Police,2021,1,Public order offences,8,(-0.001. 20.0],British Transport Police,Medium
41931,Leicestershire,2019,1,Violence against the person,94,(80.0. 100.0],East Midlands,No Lockdown
82559,West Midlands,2021,3,Violence against the person,424,(400. 500],West Midlands,Medium
37102,Greater Manchester,2019,1,Public order offences,45,(40.0. 60.0],West Midlands,No Lockdown
86197,North Yorkshire,2021,1,Sexual offences,2,(-0.001. 20.0],North,Medium
27018,West Yorkshire,2020,1,Violence against the person,74,(60.0. 80.0],East Midlands,High
109831,Thames Valley,2021,1,Criminal damage and arson,1,(-0.001. 20.0],South East,Medium
11302,Hampshire,2020,1,Violence against the person,48,(40.0. 60.0],South East,High
39791,Humberside,2019,1,Sexual offences,10,(-0.001. 20.0],East Midlands,No Lockdown
102934,North Wales,2021,1,Violence against the person,2,(-0.001. 20.0],South West,Medium
85186,Gwent,2021,1,Sexual offences,7,(-0.001. 20.0],South West,Medium
39820,Humberside,2019,1,Theft offences,1,(-0.001. 20.0],East Midlands,No Lockdown
90300,Cleveland,2021,1,Criminal damage and arson,52,(40.0. 60.0],North,Medium
99196,Lancashire,2021,1,Criminal damage and arson,26,(20.0. 40.0],West Midlands,Medium
91933,Devon and Cornwall,2021,1,Theft offences,1,(-0.001. 20.0],South West,Medium
56190,West Yorkshire,2019,1,Sexual offences,47,(40.0. 60.0],East Midlands,No Lockdown
5215,Cleveland,2020,1,Theft offences,3,(-0.001. 20.0],North,High
32136,Derbyshire,2019,1,Theft offences,4,(-0.001. 20.0],West Midlands,No Lockdown
30399,Cambridgeshire,2019,1,Theft offences,81,(80.0. 100.0],East Midlands,No Lockdown
50324,Staffordshire,2019,1,Criminal damage and arson,250,(200. 300],West Midlands,No Lockdown
46362,North Yorkshire,2019,1,Public order offences,1,(-0.001. 20.0],North,No Lockdown
42711,Lincolnshire,2019,1,Drug offences,23,(20.0. 40.0],East Midlands,No Lockdown
74017,Metropolitan Police,2021,3,Criminal damage and arson,62,(60.0. 80.0],South East,Medium
91192,Derbyshire,2021,1,Theft offences,1,(-0.001. 20.0],West Midlands,Medium
56610,Wiltshire,2019,1,Drug offences,40,(20.0. 40.0],South West,No Lockdown
9468,Essex,2020,1,Criminal damage and arson,22,(20.0. 40.0],South East,High
98787,Kent,2021,1,Public order offences,18,(-0.001. 20.0],South East,Medium
71755,Lancashire,2021,3,Public order offences,458,(400. 500],West Midlands,Medium
22713,Suffolk,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
27011,West Yorkshire,2020,1,Violence against the person,59,(40.0. 60.0],East Midlands,High
87772,Avon and Somerset,2021,1,Theft offences,1,(-0.001. 20.0],South West,Medium
84482,Cheshire,2021,1,Violence against the person,12,(-0.001. 20.0],West Midlands,Medium
82082,West Mercia,2021,3,Sexual offences,24,(20.0. 40.0],South West,Medium
17521,Norfolk,2020,1,Drug offences,5,(-0.001. 20.0],East Midlands,High
16030,Merseyside,2020,1,Violence against the person,6,(-0.001. 20.0],West Midlands,High
34984,Dyfed-Powys,2019,1,Public order offences,5,(-0.001. 20.0],South West,No Lockdown
1345,North Yorkshire,2020,1,Violence against the person,1,(-0.001. 20.0],North,High
18005,North Wales,2020,1,Public order offences,3,(-0.001. 20.0],South West,High
9690,Essex,2020,1,Drug offences,3,(-0.001. 20.0],South East,High
96366,Gwent,2021,1,Public order offences,2,(-0.001. 20.0],South West,Medium
91422,Derbyshire,2021,1,Public order offences,9,(-0.001. 20.0],West Midlands,Medium
63634,Cleveland,2021,3,Public order offences,1,(-0.001. 20.0],North,Medium
108750,Surrey,2021,1,Public order offences,540,(500. 600],South East,Medium
100166,Leicestershire,2021,1,Public order offences,1,(-0.001. 20.0],East Midlands,Medium
35009,Dyfed-Powys,2019,1,Drug offences,1,(-0.001. 20.0],South West,No Lockdown
73211,Merseyside,2021,3,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
38534,Hampshire,2019,1,Sexual offences,5,(-0.001. 20.0],South East,No Lockdown
79843,Surrey,2021,3,Sexual offences,3,(-0.001. 20.0],South East,Medium
43818,Merseyside,2019,1,Theft offences,58,(40.0. 60.0],West Midlands,No Lockdown
78449,South Yorkshire,2021,3,Public order offences,5,(-0.001. 20.0],East Midlands,Medium
110235,Warwickshire,2021,1,Theft offences,12,(-0.001. 20.0],West Midlands,Medium
23834,Sussex,2020,1,Violence against the person,1,(-0.001. 20.0],South East,High
14805,Lincolnshire,2020,1,Sexual offences,1,(-0.001. 20.0],East Midlands,High
65570,Dorset,2021,3,Violence against the person,13,(-0.001. 20.0],South West,Medium
61451,Bedfordshire,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
76377,Northumbria,2021,3,Theft offences,1,(-0.001. 20.0],North,Medium
58628,Lancashire,2021,3,Theft offences,15,(-0.001. 20.0],West Midlands,Medium
20597,Nottinghamshire,2020,1,Public order offences,2,(-0.001. 20.0],East Midlands,High
53910,Warwickshire,2019,1,Sexual offences,12,(-0.001. 20.0],West Midlands,No Lockdown
35859,Essex,2019,1,Sexual offences,5,(-0.001. 20.0],South East,No Lockdown
111211,West Midlands,2021,1,Theft offences,1111,(1100. 1200],West Midlands,Medium
47648,Northumbria,2019,1,Drug offences,4,(-0.001. 20.0],North,No Lockdown
31289,Cleveland,2019,1,Public order offences,1,(-0.001. 20.0],North,No Lockdown
56536,Wiltshire,2019,1,Violence against the person,1,(-0.001. 20.0],South West,No Lockdown
102434,Norfolk,2021,1,Sexual offences,11,(-0.001. 20.0],East Midlands,Medium
75889,Northamptonshire,2021,3,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
24579,Thames Valley,2020,1,Theft offences,15,(-0.001. 20.0],South East,High
6917,Devon and Cornwall,2020,1,Theft offences,2,(-0.001. 20.0],South West,High
23645,Surrey,2020,1,Violence against the person,18,(-0.001. 20.0],South East,High
60658,West Yorkshire,2021,3,Theft offences,18,(-0.001. 20.0],East Midlands,Medium
71462,Lancashire,2021,3,Theft offences,11,(-0.001. 20.0],West Midlands,Medium
44792,Norfolk,2019,1,Violence against the person,178,(160.0. 180.0],East Midlands,No Lockdown
40707,Kent,2019,1,Theft offences,286,(200. 300],South East,No Lockdown
102985,North Wales,2021,1,Sexual offences,1,(-0.001. 20.0],South West,Medium
36358,Gloucestershire,2019,1,Public order offences,4,(-0.001. 20.0],South West,No Lockdown
68128,Greater Manchester,2021,3,Theft offences,33,(20.0. 40.0],West Midlands,Medium
50814,Suffolk,2019,1,Criminal damage and arson,10,(-0.001. 20.0],East Midlands,No Lockdown
96927,Hampshire,2021,1,Violence against the person,47,(40.0. 60.0],South East,Medium
78047,South Yorkshire,2021,3,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
28880,Bedfordshire,2019,1,Violence against the person,1,(-0.001. 20.0],South East,No Lockdown
16719,Metropolitan Police,2020,1,Public order offences,1,(-0.001. 20.0],South East,High
3130,Bedfordshire,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
38483,Hampshire,2019,1,Sexual offences,1,(-0.001. 20.0],South East,No Lockdown
2227,Wiltshire,2020,1,Public order offences,39,(20.0. 40.0],South West,High
88130,Bedfordshire,2021,1,Violence against the person,44,(40.0. 60.0],South East,Medium
