,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
84221,Avon and Somerset,2021,1,Public order offences,143,(140.0. 160.0],South West,Medium
59498,Northamptonshire,2021,3,Drug offences,85,(80.0. 100.0],East Midlands,Medium
86759,Suffolk,2021,1,Theft offences,5,(-0.001. 20.0],East Midlands,Medium
39456,Humberside,2019,1,Violence against the person,1,(-0.001. 20.0],East Midlands,No Lockdown
47781,Northumbria,2019,1,Theft offences,1,(-0.001. 20.0],North,No Lockdown
34092,Dorset,2019,1,Theft offences,2,(-0.001. 20.0],South West,No Lockdown
84087,Wiltshire,2021,3,Violence against the person,39,(20.0. 40.0],South West,Medium
104616,Northumbria,2021,1,Sexual offences,1,(-0.001. 20.0],North,Medium
70881,Kent,2021,3,Criminal damage and arson,13,(-0.001. 20.0],South East,Medium
97661,Humberside,2021,1,Theft offences,60,(40.0. 60.0],East Midlands,Medium
95277,Greater Manchester,2021,1,Theft offences,1,(-0.001. 20.0],West Midlands,Medium
51451,Surrey,2019,1,Criminal damage and arson,241,(200. 300],South East,No Lockdown
56149,West Yorkshire,2019,1,Sexual offences,2,(-0.001. 20.0],East Midlands,No Lockdown
82117,West Mercia,2021,3,Theft offences,3,(-0.001. 20.0],South West,Medium
35291,Dyfed-Powys,2019,1,Violence against the person,35,(20.0. 40.0],South West,No Lockdown
68773,Gwent,2021,3,Theft offences,9,(-0.001. 20.0],South West,Medium
44542,Metropolitan Police,2019,1,Sexual offences,1,(-0.001. 20.0],South East,No Lockdown
68036,Greater Manchester,2021,3,Theft offences,62,(60.0. 80.0],West Midlands,Medium
10343,Gwent,2020,1,Sexual offences,13,(-0.001. 20.0],South West,High
86919,Sussex,2021,1,Criminal damage and arson,8,(-0.001. 20.0],South East,Medium
35085,Dyfed-Powys,2019,1,Drug offences,8,(-0.001. 20.0],South West,No Lockdown
69726,Hertfordshire,2021,3,Criminal damage and arson,5,(-0.001. 20.0],South East,Medium
108566,Surrey,2021,1,Public order offences,1,(-0.001. 20.0],South East,Medium
81385,Thames Valley,2021,3,Sexual offences,2,(-0.001. 20.0],South East,Medium
5753,Cumbria,2020,1,Theft offences,1,(-0.001. 20.0],North,High
96960,Hampshire,2021,1,Drug offences,1,(-0.001. 20.0],South East,Medium
60980,Avon and Somerset,2021,3,Theft offences,212,(200. 300],South West,Medium
83075,West Midlands,2021,3,Drug offences,12,(-0.001. 20.0],West Midlands,Medium
89164,Cambridgeshire,2021,1,Criminal damage and arson,1,(-0.001. 20.0],East Midlands,Medium
70724,Kent,2021,3,Theft offences,101,(100.0. 120.0],South East,Medium
43894,Merseyside,2019,1,Public order offences,47,(40.0. 60.0],West Midlands,No Lockdown
18993,Northamptonshire,2020,1,Theft offences,72,(60.0. 80.0],East Midlands,High
44360,Metropolitan Police,2019,1,Public order offences,3,(-0.001. 20.0],South East,No Lockdown
58564,Kent,2021,3,Public order offences,2,(-0.001. 20.0],South East,Medium
14900,Lincolnshire,2020,1,Public order offences,4,(-0.001. 20.0],East Midlands,High
45673,North Wales,2019,1,Theft offences,1,(-0.001. 20.0],South West,No Lockdown
65382,Dorset,2021,3,Theft offences,1,(-0.001. 20.0],South West,Medium
12261,Humberside,2020,1,Theft offences,33,(20.0. 40.0],East Midlands,High
82756,West Midlands,2021,3,Violence against the person,734,(700. 800],West Midlands,Medium
24636,Thames Valley,2020,1,Sexual offences,3,(-0.001. 20.0],South East,High
108258,Surrey,2021,1,Sexual offences,6,(-0.001. 20.0],South East,Medium
69162,Hampshire,2021,3,Violence against the person,1,(-0.001. 20.0],South East,Medium
65379,Dorset,2021,3,Theft offences,4,(-0.001. 20.0],South West,Medium
6103,Derbyshire,2020,1,Violence against the person,1,(-0.001. 20.0],West Midlands,High
85524,Kent,2021,1,Violence against the person,2,(-0.001. 20.0],South East,Medium
4009,Cambridgeshire,2020,1,Sexual offences,4,(-0.001. 20.0],East Midlands,High
100831,Merseyside,2021,1,Violence against the person,89,(80.0. 100.0],West Midlands,Medium
80284,Surrey,2021,3,Violence against the person,1,(-0.001. 20.0],South East,Medium
